กรอกข้อความที่ต้องการให้แปลงเป็นเสียง,เลือกภาษา,พรีวิวเสียง,timestamp
,th,,2024-11-04 20:41:07.808484
สวัสดี,th,.gradio\flagged\พรววเสยง\669c00b4939f911af23d\tmp7ak3c6cj.mp3,2024-11-04 20:41:15.898130
